Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2019/02/04 11:26:35 am GMT-8,HRMG,Female,22,177.8,110,1400,4000,3. Non-profit or Government Agency,No,700,1. Walk,0,100,0. Right-handed,68,No,11.12,0,Yes,8,10,10,0,Yes,No,0
2019/02/04 11:27:45 am GMT-8,HRMG,Female,24,175,63,2000,3750,2. Small Company,Yes,300,3. Drive,NA,150,0. Right-handed,60,No,9.5,0,Yes,8,7,20,0,Yes,Yes,2
2019/02/04 11:27:46 am GMT-8,HRMG,Male,24,182.88,100,2000,3500,2. Small Company,Yes,200,3. Drive,100,150,1. Left-handed,82,No,10.5,1,No,6,20,20,8,Yes,No,0
2019/02/04 11:29:06 am GMT-8,HRMG,Female,34,NA,61.3,2500,3500,1. Large Corporation,Yes,300,3. Drive,NA,400,0. Right-handed,70,No,7,0,Yes,78,14,20,0,Yes,No,1
2019/02/04 11:29:12 am GMT-8,HRMG,Female,24,160,54,0,3800,2. Small Company,Yes,500,3. Drive,300,100,0. Right-handed,90,No,8,3,No,67,6,11,0,Yes,Yes,1
2019/02/04 11:29:30 am GMT-8,HRMG,Female,24,164,65,2500,5000,2. Small Company,Yes,500,2. Public Transport,40,150,0. Right-handed,55,No,9.25,0,No,7,20,25,0,Yes,Yes,0
2019/02/04 11:29:38 am GMT-8,HRMG,Female,27,153,55,2300,3000,2. Small Company,No,400,3. Drive,NA,100,0. Right-handed,120,No,6,0,Yes,7,8,25,12,Yes,Yes,1
2019/02/04 11:31:56 am GMT-8,HRMG,Female,27,NA,NA,0,3500,2. Small Company,Yes,100,2. Public Transport,NA,NA,0. Right-handed,60,No,NA,1,No,5,2,28,NA,Yes,No,1
2019/02/04 11:33:25 am GMT-8,HRMG,Male,NA,NA,NA,NA,NA,1. Large Corporation,No,NA,3. Drive,NA,NA,2. Ambidextrous,NA,No,NA,NA,Yes,NA,NA,NA,NA,Yes,No,1
2019/02/04 11:34:05 am GMT-8,HRMG,Male,40,185,90,2000,4000,1. Large Corporation,No,3000,2. Public Transport,50,200,0. Right-handed,80,No,13,0,Yes,7,3,14,0,Yes,No,3
2019/02/04 11:35:08 am GMT-8,HRMG,Male,25,165,70.3,1300,1600,1. Large Corporation,Yes,300,3. Drive,50,100,0. Right-handed,45,No,8.5,0,No,7,4,12,3.5,Yes,Yes,0.25
2019/02/04 11:36:01 am GMT-8,HRMG,Female,25,163,52,NA,NA,1. Large Corporation,Yes,500,3. Drive,20,150,0. Right-handed,45,No,9.5,0,No,6,20,20,8,Yes,No,2
2019/02/04 11:39:16 am GMT-8,HRMG,Female,38,NA,60,3000,3500,3. Non-profit or Government Agency,No,NA,2. Public Transport,41,NA,0. Right-handed,56,Yes,9,0,No,5,14,NA,0,Yes,No,0
